"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2002";"3. Quartal";"07";"Hotels garni";11609;27425;24;2069
"2002";"3. Quartal";"07";"Gasthöfe";1875;3812;14;308
"2002";"3. Quartal";"07";"Pensionen";2376;6949;33;802
"2002";"3. Quartal";"07";"Jugendherbergen";6090;14258;6;782
"2002";"3. Quartal";"07";"sonstige";625;2367;5;168
"2002";"3. Quartal";"08";"Hotels";52451;110878;65;11068
"2002";"3. Quartal";"08";"Hotels garni";8999;22188;24;2045
"2002";"3. Quartal";"08";"Gasthöfe";1320;2763;14;308
"2002";"3. Quartal";"08";"Pensionen";2135;5531;33;802
"2002";"3. Quartal";"08";"Jugendherbergen";5069;10371;6;782
"2002";"3. Quartal";"08";"sonstige";340;1521;6;182
"2002";"3. Quartal";"09";"Hotels";48833;99174;51;6674
"2002";"3. Quartal";"09";"Hotels garni";13390;29771;23;1885
"2002";"3. Quartal";"09";"Gasthöfe";1316;2940;12;277
"2002";"3. Quartal";"09";"Pensionen";2490;6380;31;779
"2002";"3. Quartal";"09";"Jugendherbergen";4635;11585;6;816
"2002";"3. Quartal";"09";"sonstige";416;1550;5;122
"2002";"4. Quartal";"10";"Hotels";54633;119070;56;8472
"2002";"4. Quartal";"10";"Hotels garni";11468;25759;24;2045
"2002";"4. Quartal";"10";"Gasthöfe";1306;2976;12;277
"2002";"4. Quartal";"10";"Pensionen";2631;8051;33;810
"2002";"4. Quartal";"10";"Jugendherbergen";5153;12659;6;814
"2002";"4. Quartal";"10";"sonstige";415;1612;5;122
"2002";"4. Quartal";"11";"Hotels";51402;99833;59;8966
"2002";"4. Quartal";"11";"Hotels garni";9182;21155;24;2045
"2002";"4. Quartal";"11";"Gasthöfe";1045;2244;11;261
"2002";"4. Quartal";"11";"Pensionen";2059;5873;33;810
"2002";"4. Quartal";"11";"Jugendherbergen";3402;7297;6;863
"2002";"4. Quartal";"11";"sonstige";361;1303;5;122
"2002";"4. Quartal";"12";"Hotels";61160;123737;60;9044
"2002";"4. Quartal";"12";"Hotels garni";10517;22839;24;2045
"2002";"4. Quartal";"12";"Gasthöfe";1256;2363;11;261
"2002";"4. Quartal";"12";"Pensionen";2308;5484;32;705
"2002";"4. Quartal";"12";"Jugendherbergen";3534;7912;6;863
"2002";"4. Quartal";"12";"sonstige";364;1183;5;122
"2003";"1. Quartal";"01";"Hotels";27569;55689;61;9125
"2003";"1. Quartal";"01";"Hotels garni";5017;11878;24;2155
"2003";"1. Quartal";"01";"Gasthöfe";816;1843;12;279
"2003";"1. Quartal";"01";"Pensionen";1413;3753;32;702
"2003";"1. Quartal";"01";"Jugendherbergen";2512;4517;4;704
"2003";"1. Quartal";"01";"sonstige";272;1228;5;122
"2003";"1. Quartal";"02";"Hotels";34275;64019;62;9726
"2003";"1. Quartal";"02";"Hotels garni";5570;11960;24;2137
"2003";"1. Quartal";"02";"Gasthöfe";941;1715;12;281
"2003";"1. Quartal";"02";"Pensionen";1428;4122;32;706
"2003";"1. Quartal";"02";"Jugendherbergen";2638;6450;5;779
"2003";"1. Quartal";"02";"sonstige";247;1061;5;122
"2003";"1. Quartal";"03";"Hotels";54346;110256;64;10490
