"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"1998";"16 Gorbitz";"Eigentümer Wohnungsgenossenschaft";59
"1998";"16 Gorbitz";"Eigentümer Stadt";31
"1998";"16 Gorbitz";"Eigentümer privat";7
"1998";"17 Briesnitz und westliche OS";"Eigennutzung";27
"1998";"17 Briesnitz und westliche OS";"Eigentümer Wohnungsgenossenschaft";21
"1998";"17 Briesnitz und westliche OS";"Eigentümer Stadt";6
"1998";"17 Briesnitz und westliche OS";"Eigentümer privat";46
"1998";"18 Dresden gesamt";"Eigennutzung";10
"1998";"18 Dresden gesamt";"Eigentümer Wohnungsgenossenschaft";32
"1998";"18 Dresden gesamt";"Eigentümer Stadt";21
"1998";"18 Dresden gesamt";"Eigentümer privat";37
"2002";"01 StB Altstadt ohne Johannstadt";"Eigennutzung";1
"2002";"01 StB Altstadt ohne Johannstadt";"Eigentümer Wohnungsgenossenschaft";40
"2002";"01 StB Altstadt ohne Johannstadt";"Eigentümer Stadt";38
"2002";"01 StB Altstadt ohne Johannstadt";"Eigentümer privat";21
"2002";"02 Johannstadt";"Eigennutzung";3
"2002";"02 Johannstadt";"Eigentümer Wohnungsgenossenschaft";47
"2002";"02 Johannstadt";"Eigentümer Stadt";35
"2002";"02 Johannstadt";"Eigentümer privat";16
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";3
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";11
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";10
"2002";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";77
"2002";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";7
"2002";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Wohnungsgenossenschaft";14
"2002";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Stadt";9
"2002";"04 Leipziger Vorstadt, Pieschen";"Eigentümer privat";70
"2002";"05 Mickten, Kaditz, Trachau";"Eigennutzung";12
"2002";"05 Mickten, Kaditz, Trachau";"Eigentümer Wohnungsgenossenschaft";30
"2002";"05 Mickten, Kaditz, Trachau";"Eigentümer Stadt";5
"2002";"05 Mickten, Kaditz, Trachau";"Eigentümer privat";54
"2002";"06 StB Klotzsche und nördliche OS";"Eigennutzung";43
"2002";"06 StB Klotzsche und nördliche OS";"Eigentümer Wohnungsgenossenschaft";16
"2002";"06 StB Klotzsche und nördliche OS";"Eigentümer Stadt";6
"2002";"06 StB Klotzsche und nördliche OS";"Eigentümer privat";36
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigennutzung";43
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Wohnungsgenossenschaft";5
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Stadt";2
"2002";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer privat";51
"2002";"08 Blasewitz, Striesen";"Eigennutzung";7
"2002";"08 Blasewitz, Striesen";"Eigentümer Wohnungsgenossenschaft";22
"2002";"08 Blasewitz, Striesen";"Eigentümer Stadt";10
"2002";"08 Blasewitz, Striesen";"Eigentümer privat";62
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Eigennutzung";6
"2002";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Wohnungsgenossenschaft";43
