Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494);Sehenswürdigkeiten (cls:L92);Nette Toilette - Teilnehmer (cls:L205);Öffentliche Toiletten (cls:L204);Friedhöfe (cls:L103);Parkanlagen, Gärten (cls:L104);Wassertechnische Anlagen (Punkte) (cls:L573);Park- und Grünanlagen (Punkte) (cls:L570);Sonstige Unterkünfte (cls:L94);Hotels (cls:L93);Hostel und Jugendherbergen (cls:L95);Campingplätze (cls:L751);Nagelsche Säulen (cls:L602);Dresdner Revolutionsweg (cls:L464);Touristinformation (cls:L471)
473;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0
144;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
934;2;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;0;0;0;0
994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0
054;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
361;2;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
715;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0
906;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
621;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0
841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
822;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;6;0;2;0;0;0;0
908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
758;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0
225;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
134;4;3;0;2;0;0;3;0;0;0;0;3;0;2;0;0;4;2;0;0;0;1;0
256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
761;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0
933;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
997;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
866;2;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
555;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
034;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
811;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
714;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
113;2;0;0;0;0;0;0;0;1;0;12;3;0;0;0;0;4;0;2;0;0;0;0
821;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
909;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
762;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;1;0
471;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0
