Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
994;0;2;6;0;0;0;2;0;2;0;2;2;0;2;2;4;4;0;0;4;4;0
315;4;8;12;2;6;6;6;6;6;6;6;6;6;6;8;8;8;2;4;6;6;0
054;0;2;12;2;2;0;2;2;2;2;2;2;2;2;2;8;8;2;0;8;8;0
361;0;6;15;0;0;0;6;0;6;0;6;6;0;6;6;8;10;0;0;10;10;0
715;0;2;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0
906;0;4;12;0;0;0;4;0;4;0;4;4;0;4;4;10;8;0;0;8;8;0
621;8;8;3;2;6;6;6;8;8;8;6;8;8;8;8;2;2;0;4;2;4;0
841;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0
725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;4;2;9;0;2;4;2;0;2;2;2;2;2;2;2;6;6;0;4;6;6;0
546;0;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;2;2;0
751;4;4;6;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;6;0
222;0;2;3;0;2;4;2;2;2;2;2;2;2;2;2;2;2;0;0;2;2;0
478;0;2;3;0;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0
616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;4;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2
822;2;4;6;0;2;2;2;2;4;2;2;4;2;2;4;2;4;2;2;4;4;0
908;0;4;3;0;0;0;4;0;4;0;4;4;0;4;4;2;2;0;0;2;2;0
744;0;4;3;0;0;0;4;0;4;0;4;4;0;4;4;2;2;0;0;2;4;0
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
758;0;0;3;0;0;0;0;0;2;0;0;0;0;2;0;6;2;0;0;2;2;0
225;4;6;21;0;6;6;6;6;4;6;6;4;6;6;6;16;16;2;2;12;12;1
134;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;2;2;0
256;2;4;6;2;2;2;2;2;2;0;2;4;0;2;4;6;6;2;4;4;4;0
761;8;4;9;4;6;6;6;6;4;6;6;4;6;4;4;6;6;4;4;6;6;0
