Statistischer Bezirk;Tankstellen (cls:L107);Reisebusparkplätze (cls:L738);Pendlerparkplätze (cls:L371);Bergbahnen (cls:L491);Bahnhöfe (cls:L490);Flughafen (cls:L489);Fähren/Anlegestellen (cls:L492);Fahrscheinautomaten (cls:L1086);DVB-Servicepunkte (cls:L1087);Mobilitätspunkte - in Betrieb (cls:L834);Mobilitätspunkte - Konzept, Planung (cls:L833)
435;0;0;0;0;0;0;0;0;0;0;0
954;0;0;0;0;0;0;0;1;0;0;0
453;2;0;0;0;0;0;0;0;0;0;0
012;2;1;0;0;0;0;0;2;1;0;0
411;2;0;0;0;0;0;0;0;0;0;0
066;0;0;0;0;0;0;0;1;0;0;0
976;0;0;0;0;0;0;0;0;0;0;0
551;0;0;0;0;0;0;0;1;0;0;0
354;2;0;0;0;1;0;0;0;0;0;0
566;0;0;0;0;0;0;0;2;0;0;0
838;0;0;0;0;0;0;0;0;0;0;0
425;0;0;0;0;0;0;0;0;0;0;0
537;0;0;0;0;0;0;0;0;0;0;0
044;0;0;0;0;0;0;0;0;0;0;1
463;0;0;0;0;0;0;0;0;0;0;0
575;0;0;0;0;0;0;0;0;0;0;0
521;2;0;0;0;0;0;0;0;0;0;0
957;0;0;0;0;0;0;0;0;0;0;0
903;2;0;0;0;0;0;0;0;0;0;0
741;0;0;0;0;0;0;0;0;0;0;0
941;0;0;0;0;0;0;0;1;0;0;0
713;0;0;0;0;0;0;0;0;0;0;0
322;0;0;0;0;0;0;0;0;0;0;0
075;0;0;0;0;0;0;0;0;0;0;0
618;0;0;0;0;0;0;0;1;0;0;0
727;0;0;0;0;0;0;0;0;0;0;0
024;0;0;0;0;0;0;0;0;0;0;0
536;2;0;0;0;0;0;0;0;0;0;0
633;0;0;0;0;0;0;0;0;0;0;0
031;4;0;0;0;1;0;0;5;1;0;0
567;2;0;0;0;0;0;0;0;0;0;0
839;0;0;0;0;0;0;0;0;0;0;0
526;0;0;0;0;0;0;0;0;0;0;1
424;0;0;0;0;0;0;0;0;0;0;0
047;0;0;0;0;0;0;0;0;0;0;1
913;0;0;0;0;0;0;0;0;0;0;0
412;2;3;0;2;0;0;0;3;0;0;1
065;0;0;0;0;0;0;0;0;0;0;0
249;0;0;0;0;0;0;0;0;0;0;0
432;0;1;0;0;0;0;0;0;0;0;0
574;0;0;0;0;0;0;0;0;0;0;1
831;0;0;0;0;0;0;0;1;0;0;1
942;0;0;0;0;0;0;0;0;0;0;0
462;0;0;0;0;0;0;0;0;0;0;0
323;0;0;0;0;0;0;0;0;0;0;0
956;0;0;0;0;0;0;0;0;0;0;0
619;2;0;0;0;1;0;0;0;0;0;0
728;0;0;0;0;0;0;0;1;0;0;0
023;0;0;0;0;0;0;0;0;0;0;0
553;0;0;0;0;0;0;0;0;0;0;0
634;0;0;0;0;0;0;1;0;0;0;0
564;2;0;0;0;0;0;0;1;0;0;0
974;0;0;0;0;0;0;0;0;0;0;0
535;0;0;0;0;0;0;0;1;0;0;1
712;0;0;0;0;0;0;0;0;0;0;0
912;0;0;0;0;0;0;0;1;0;0;0
413;0;0;0;1;0;0;0;1;0;0;0
064;0;0;0;0;0;0;0;0;0;0;0
046;0;1;0;0;0;0;0;1;0;0;0
646;0;0;0;0;1;0;0;0;0;0;1
022;0;0;0;0;0;0;0;0;0;0;0
527;0;0;0;0;0;0;0;1;0;0;0
248;0;0;0;0;0;0;0;1;0;0;0
433;2;3;0;0;0;0;1;0;0;0;1
461;0;0;0;0;0;0;0;0;0;0;0
573;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0
565;0;0;0;0;0;0;0;0;0;0;0
118;2;0;0;0;0;0;0;0;0;0;0
534;0;0;0;0;0;0;0;0;0;0;0
645;2;0;0;0;0;0;0;0;0;0;0
423;0;0;0;0;0;0;0;0;0;0;0
943;0;0;0;0;0;0;0;0;0;0;0
711;0;0;0;0;0;0;0;0;0;0;1
552;0;0;0;0;0;0;0;0;0;0;0
021;2;0;0;0;0;0;0;2;0;0;0
231;6;0;0;0;0;0;0;0;0;0;1
562;0;0;0;0;0;0;0;0;0;0;0
429;0;0;0;0;0;0;0;0;0;0;0
