Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494)
631;0;0;0;0;0;0;0;0;0
234;0;0;0;0;0;0;0;0;0
025;0;0;0;0;0;0;0;0;0
434;0;0;0;0;0;0;0;0;0
977;0;0;0;0;0;0;0;0;0
011;24;20;6;8;2;12;4;0;4
426;0;0;0;0;0;0;0;0;0
045;0;0;0;0;0;0;0;0;0
632;3;0;0;0;0;0;2;0;2
435;0;0;0;0;0;0;0;0;0
954;0;0;0;0;0;0;0;0;0
453;0;0;0;0;0;0;0;0;0
012;3;6;2;4;0;16;0;0;2
411;0;0;4;0;0;0;2;2;0
066;0;0;0;0;0;0;0;0;0
976;0;0;0;0;0;0;0;0;0
551;3;0;0;0;0;0;0;0;0
354;3;0;0;0;0;0;0;0;0
566;3;0;0;0;0;0;0;0;0
838;0;0;0;0;0;0;0;0;0
425;0;2;0;0;0;0;0;0;2
537;0;0;0;0;0;0;0;0;0
044;0;0;0;0;0;0;2;0;0
463;0;0;0;0;0;0;0;0;0
575;0;0;0;0;0;0;0;0;0
521;0;0;0;0;0;0;0;0;0
957;0;0;0;0;0;0;0;0;0
903;0;0;0;0;0;0;0;0;0
741;0;0;0;0;0;0;0;0;0
941;0;0;0;0;0;0;0;0;0
713;0;0;0;0;0;0;0;0;0
322;3;0;0;0;0;0;0;0;0
075;0;0;0;0;0;0;0;0;0
618;0;0;0;0;0;0;0;0;0
727;0;0;0;0;0;0;0;0;0
024;0;0;0;0;0;0;0;0;0
536;0;0;0;0;0;0;0;0;0
633;3;0;0;0;0;0;0;0;0
031;0;0;0;0;0;0;0;4;0
567;0;0;0;0;0;0;0;0;0
839;0;0;0;0;0;0;0;0;0
526;0;0;0;0;0;0;0;0;0
424;3;0;0;0;0;0;0;0;0
047;0;0;0;0;0;0;2;0;0
913;0;0;0;0;0;0;0;0;0
412;3;16;0;4;0;6;2;0;2
065;0;0;0;0;0;0;0;0;0
249;0;0;0;0;0;0;0;0;0
432;9;2;0;0;0;2;0;0;0
574;0;0;0;0;0;0;0;0;0
831;0;2;0;0;2;2;0;0;2
942;0;0;0;0;0;0;0;0;0
462;0;0;0;0;0;0;0;0;2
323;0;2;0;2;0;0;0;0;0
956;3;0;0;0;0;0;2;0;0
619;0;0;0;0;0;0;0;0;0
728;3;0;0;0;0;0;0;0;0
023;0;0;0;0;0;0;0;0;0
553;0;0;0;0;0;0;0;0;0
634;0;0;0;0;0;0;0;0;0
564;3;0;0;0;0;0;0;0;0
974;0;0;0;0;0;0;0;0;0
535;0;0;0;0;0;0;0;0;0
712;0;2;0;0;0;2;4;0;0
912;3;0;0;0;0;0;0;0;0
413;0;0;0;0;0;0;0;0;0
064;0;0;0;0;0;0;0;0;0
046;0;0;0;0;0;0;0;0;0
646;0;0;0;0;0;0;0;0;0
022;0;0;0;0;0;0;0;0;0
527;0;0;0;0;0;0;0;0;0
248;3;0;0;0;0;0;0;0;0
433;9;2;2;0;0;4;0;0;2
461;0;0;0;0;0;0;0;0;0
573;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0
565;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0
534;0;0;0;0;0;0;0;0;0
645;0;0;0;0;0;0;0;0;0
423;0;0;0;0;0;0;0;0;0
943;0;0;0;0;0;0;0;0;0
711;0;0;0;0;0;0;0;0;0
552;0;0;0;0;0;0;0;0;0
021;0;0;0;0;0;0;0;0;0
231;0;0;0;2;0;0;2;2;0
562;0;0;0;0;0;0;0;0;0
429;0;0;0;0;0;0;0;0;0
