"Jahr";"Stadtraum";"Heizungsart";"Anteil in %"
"2005";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";62
"2005";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";35
"2005";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";3
"2005";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";31
"2005";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";67
"2005";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";2
"2005";"13 Südvorstadt, Zschertnitz";"Fernheizung";62
"2005";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";37
"2005";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";1
"2005";"14 Mockritz, Coschütz, Plauen";"Fernheizung";36
"2005";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";64
"2005";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";0
"2005";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";20
"2005";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";77
"2005";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";2
"2005";"16 Gorbitz";"Fernheizung";90
"2005";"16 Gorbitz";"Zentralheizung oder Etagenheizung";10
"2005";"16 Gorbitz";"Einzelraumheizung";0
"2005";"17 Briesnitz und westliche OS";"Fernheizung";9
"2005";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";86
"2005";"17 Briesnitz und westliche OS";"Einzelraumheizung";4
"2005";"18 Dresden gesamt";"Fernheizung";48
"2005";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";50
"2005";"18 Dresden gesamt";"Einzelraumheizung";2
"2007";"01 StB Altstadt ohne Johannstadt";"Fernheizung";79
"2007";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";20
"2007";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";1
"2007";"02 Johannstadt";"Fernheizung";79
"2007";"02 Johannstadt";"Zentralheizung oder Etagenheizung";20
"2007";"02 Johannstadt";"Einzelraumheizung";2
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";54
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";42
"2007";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";5
"2007";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";22
"2007";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";69
"2007";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";9
"2007";"05 Mickten, Kaditz, Trachau";"Fernheizung";28
"2007";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";70
"2007";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";2
"2007";"06 StB Klotzsche und nördliche OS";"Fernheizung";24
"2007";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";73
"2007";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";3
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";9
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";86
"2007";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";5
"2007";"08 Blasewitz, Striesen";"Fernheizung";49
"2007";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";50
"2007";"08 Blasewitz, Striesen";"Einzelraumheizung";1
"2007";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";64
"2007";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";36
"2007";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";1
"2007";"10 StB Leuben";"Fernheizung";49
"2007";"10 StB Leuben";"Zentralheizung oder Etagenheizung";50
"2007";"10 StB Leuben";"Einzelraumheizung";2
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";75
