"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"021  Pirnaische Vs.(Grunaer-Süd)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2014";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2012";"Nichtwohngebäude ohne Wohnungen";2;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2014";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"1993";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2000";"Mehrfamilienhaus";8;95
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2002";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2007";"Mehrfamilienhaus";5;432
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2007";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2012";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2017";"Mehrfamilienhaus";9;126
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"022  Pirnaische Vs.(Zirkusstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Umbau";"2018";"Mehrfamilienhaus";1;160
"023  Pirnaische Vs.(Blochmannstr)";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"Neubau";"2015";"Nichtwohngebäude ohne Wohnungen";1;0
