"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"00 - 02 Jahre";270
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"03 - 05 Jahre";210
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"06 - 09 Jahre";247
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"10 - 14 Jahre";284
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"15 - 17 Jahre";156
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"18 - 24 Jahre";1064
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"25 - 29 Jahre";851
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"30 - 44 Jahre";1810
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"45 - 59 Jahre";1766
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"60 - 64 Jahre";642
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"65 - 74 Jahre";1609
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"75 - 84 Jahre";2713
"";"07 Johannstadt-Süd";"StB 0 Altstadt";"StB 0 Altstadt";"02 Johannstadt";"85 Jahre u.älter";837
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"00 - 02 Jahre";826
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"03 - 05 Jahre";644
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"06 - 09 Jahre";717
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"10 - 14 Jahre";730
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"15 - 17 Jahre";324
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"18 - 24 Jahre";1955
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"25 - 29 Jahre";3036
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"30 - 44 Jahre";6305
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"45 - 59 Jahre";2485
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"60 - 64 Jahre";332
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"65 - 74 Jahre";372
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"75 - 84 Jahre";314
"";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"85 Jahre u.älter";171
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"00 - 02 Jahre";369
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"03 - 05 Jahre";370
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"06 - 09 Jahre";490
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"10 - 14 Jahre";550
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"15 - 17 Jahre";261
"";"12 Radeberger Vorstadt";"StB 1 Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"18 - 24 Jahre";483
