Jahr,Stadtraum,Fälle erfasst,Fälle aufgeklärt,Tatverdächtige insgesamt
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3328,1670,1410
2015,16 Gorbitz,1919,1103,947
2015,17 Briesnitz und westliche OS,1091,440,425
2016,01 StB Altstadt ohne Johannstadt,14258,9031,7560
2016,02 Johannstadt,1688,646,571
2016,03 StB Neustadt ohne Leipziger Vorstadt,6912,3223,2595
2016,"04 Leipziger Vorstadt, Pieschen",3812,1647,1422
2016,"05 Mickten, Kaditz, Trachau",2507,1291,1147
2016,06 StB Klotzsche und nördliche OS,1283,573,503
2016,07 StB Loschwitz und OS Schönfeld-Weißig,1049,514,475
2016,"08 Blasewitz, Striesen",2876,1332,1188
2016,"09 Tolkewitz, Seidnitz, Gruna",1923,825,691
2016,10 StB Leuben,1821,886,791
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2470,1525,1231
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2395,1395,1187
2016,"13 Südvorstadt, Zschertnitz",2964,1555,1438
2016,"14 Mockritz, Coschütz, Plauen",1016,401,378
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",3436,1717,1351
2016,16 Gorbitz,1939,1224,913
2016,17 Briesnitz und westliche OS,1011,391,379
2017,01 StB Altstadt ohne Johannstadt,12491,7963,6569
2017,02 Johannstadt,1625,695,614
2017,03 StB Neustadt ohne Leipziger Vorstadt,7022,3637,2724
2017,"04 Leipziger Vorstadt, Pieschen",3544,1609,1339
2017,"05 Mickten, Kaditz, Trachau",2339,1274,1149
2017,06 StB Klotzsche und nördliche OS,1048,562,496
2017,07 StB Loschwitz und OS Schönfeld-Weißig,978,502,388
2017,"08 Blasewitz, Striesen",26524,25189,1390
2017,"09 Tolkewitz, Seidnitz, Gruna",1941,839,730
2017,10 StB Leuben,1725,913,733
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",2384,1413,1149
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2077,1180,1073
2017,"13 Südvorstadt, Zschertnitz",2884,1391,1232
2017,"14 Mockritz, Coschütz, Plauen",1004,411,365
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2842,1414,1248
2017,16 Gorbitz,1546,833,701
2017,17 Briesnitz und westliche OS,933,536,412
