,Jahr,Stadtraum,Heizenergie,Anteil in %
235,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Kohle,"20,7"
236,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Gas,66
237,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Öl,"10,8"
238,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Strom,"1,6"
239,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",sonstige,"0,8"
240,1996,"13 Südvorstadt, Zschertnitz",Kohle,"45,5"
241,1996,"13 Südvorstadt, Zschertnitz",Gas,"45,3"
242,1996,"13 Südvorstadt, Zschertnitz",Öl,"2,8"
243,1996,"13 Südvorstadt, Zschertnitz",Strom,"6,5"
244,1996,"13 Südvorstadt, Zschertnitz",sonstige,0
245,1996,"14 Mockritz, Coschütz, Plauen",Kohle,"24,3"
246,1996,"14 Mockritz, Coschütz, Plauen",Gas,"55,2"
247,1996,"14 Mockritz, Coschütz, Plauen",Öl,"17,4"
248,1996,"14 Mockritz, Coschütz, Plauen",Strom,"3,1"
249,1996,"14 Mockritz, Coschütz, Plauen",sonstige,0
250,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Kohle,"42,2"
251,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Gas,"50,7"
252,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Öl,"5,5"
253,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Strom,"1,6"
254,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",sonstige,0
255,1996,16 Gorbitz,Kohle,0
256,1996,16 Gorbitz,Gas,0
257,1996,16 Gorbitz,Öl,0
258,1996,16 Gorbitz,Strom,0
259,1996,16 Gorbitz,sonstige,0
260,1996,17 Briesnitz und westliche OS,Kohle,"35,8"
261,1996,17 Briesnitz und westliche OS,Gas,"52,9"
262,1996,17 Briesnitz und westliche OS,Öl,"8,5"
263,1996,17 Briesnitz und westliche OS,Strom,"2,8"
264,1996,17 Briesnitz und westliche OS,sonstige,0
265,1996,18 Dresden gesamt,Kohle,"40,5"
266,1996,18 Dresden gesamt,Gas,48
267,1996,18 Dresden gesamt,Öl,"7,9"
268,1996,18 Dresden gesamt,Strom,"3,4"
269,1996,18 Dresden gesamt,sonstige,"0,3"
270,1998,01 StB Altstadt ohne Johannstadt,Kohle,"32,9"
271,1998,01 StB Altstadt ohne Johannstadt,Gas,"52,9"
272,1998,01 StB Altstadt ohne Johannstadt,Öl,"1,5"
273,1998,01 StB Altstadt ohne Johannstadt,Strom,"10,6"
274,1998,01 StB Altstadt ohne Johannstadt,sonstige,"2,1"
275,1998,02 Johannstadt,Kohle,"49,6"
276,1998,02 Johannstadt,Gas,24
277,1998,02 Johannstadt,Öl,0
278,1998,02 Johannstadt,Strom,"7,7"
279,1998,02 Johannstadt,sonstige,"18,6"
280,1998,03 StB Neustadt ohne Leipziger Vorstadt,Kohle,"27,3"
281,1998,03 StB Neustadt ohne Leipziger Vorstadt,Gas,"55,7"
282,1998,03 StB Neustadt ohne Leipziger Vorstadt,Öl,"7,8"
283,1998,03 StB Neustadt ohne Leipziger Vorstadt,Strom,"7,3"
284,1998,03 StB Neustadt ohne Leipziger Vorstadt,sonstige,"1,9"
285,1998,"04 Leipziger Vorstadt, Pieschen",Kohle,"31,6"
286,1998,"04 Leipziger Vorstadt, Pieschen",Gas,"50,5"
287,1998,"04 Leipziger Vorstadt, Pieschen",Öl,"9,9"
288,1998,"04 Leipziger Vorstadt, Pieschen",Strom,"6,5"
289,1998,"04 Leipziger Vorstadt, Pieschen",sonstige,"1,5"
290,1998,"05 Mickten, Kaditz, Trachau",Kohle,"20,9"
291,1998,"05 Mickten, Kaditz, Trachau",Gas,"67,5"
292,1998,"05 Mickten, Kaditz, Trachau",Öl,5
293,1998,"05 Mickten, Kaditz, Trachau",Strom,"5,6"
294,1998,"05 Mickten, Kaditz, Trachau",sonstige,"0,9"
295,1998,06 StB Klotzsche und nördliche OS,Kohle,"13,4"
296,1998,06 StB Klotzsche und nördliche OS,Gas,65
297,1998,06 StB Klotzsche und nördliche OS,Öl,"21,2"
298,1998,06 StB Klotzsche und nördliche OS,Strom,0
299,1998,06 StB Klotzsche und nördliche OS,sonstige,"0,4"
300,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Kohle,"9,5"
301,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Gas,"64,8"
302,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Öl,"22,2"
303,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Strom,3
304,1998,07 StB Loschwitz und OS Schönfeld-Weißig,sonstige,"0,5"
305,1998,"08 Blasewitz, Striesen",Kohle,"19,1"
306,1998,"08 Blasewitz, Striesen",Gas,73
307,1998,"08 Blasewitz, Striesen",Öl,"5,9"
308,1998,"08 Blasewitz, Striesen",Strom,"1,7"
309,1998,"08 Blasewitz, Striesen",sonstige,"0,3"
310,1998,"09 Tolkewitz, Seidnitz, Gruna",Kohle,"30,5"
311,1998,"09 Tolkewitz, Seidnitz, Gruna",Gas,"64,5"
312,1998,"09 Tolkewitz, Seidnitz, Gruna",Öl,"3,9"
313,1998,"09 Tolkewitz, Seidnitz, Gruna",Strom,"1,2"
314,1998,"09 Tolkewitz, Seidnitz, Gruna",sonstige,0
315,1998,10 StB Leuben,Kohle,"18,8"
316,1998,10 StB Leuben,Gas,"69,6"
317,1998,10 StB Leuben,Öl,"5,2"
318,1998,10 StB Leuben,Strom,"5,1"
319,1998,10 StB Leuben,sonstige,"1,3"
320,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Kohle,11
321,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Gas,74
322,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Öl,7
323,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Strom,8
324,1998,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",sonstige,0
325,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Kohle,"11,3"
326,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Gas,"72,6"
327,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Öl,"13,8"
328,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Strom,"2,3"
329,1998,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",sonstige,0
330,1998,"13 Südvorstadt, Zschertnitz",Kohle,"38,3"
331,1998,"13 Südvorstadt, Zschertnitz",Gas,"53,3"
332,1998,"13 Südvorstadt, Zschertnitz",Öl,"5,9"
333,1998,"13 Südvorstadt, Zschertnitz",Strom,"1,2"
334,1998,"13 Südvorstadt, Zschertnitz",sonstige,"1,3"
335,1998,"14 Mockritz, Coschütz, Plauen",Kohle,"17,8"
336,1998,"14 Mockritz, Coschütz, Plauen",Gas,"70,2"
337,1998,"14 Mockritz, Coschütz, Plauen",Öl,"8,4"
338,1998,"14 Mockritz, Coschütz, Plauen",Strom,"3,6"
339,1998,"14 Mockritz, Coschütz, Plauen",sonstige,0
340,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Kohle,"21,5"
341,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Gas,"65,3"
342,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Öl,"10,6"
343,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Strom,"2,4"
344,1998,"15 Cotta, Löbtau, Naußlitz, Dölzschen",sonstige,"0,3"
345,1998,16 Gorbitz,Kohle,0
346,1998,16 Gorbitz,Gas,0
347,1998,16 Gorbitz,Öl,0
348,1998,16 Gorbitz,Strom,0
349,1998,16 Gorbitz,sonstige,0
350,1998,17 Briesnitz und westliche OS,Kohle,"10,1"
351,1998,17 Briesnitz und westliche OS,Gas,"62,8"
352,1998,17 Briesnitz und westliche OS,Öl,24
353,1998,17 Briesnitz und westliche OS,Strom,"0,6"
354,1998,17 Briesnitz und westliche OS,sonstige,"2,5"
355,1998,18 Dresden gesamt,Kohle,"20,8"
356,1998,18 Dresden gesamt,Gas,"64,1"
357,1998,18 Dresden gesamt,Öl,"10,4"
358,1998,18 Dresden gesamt,Strom,"3,7"
359,1998,18 Dresden gesamt,sonstige,1
360,2002,01 StB Altstadt ohne Johannstadt,Kohle,0
361,2002,01 StB Altstadt ohne Johannstadt,Gas,100
362,2002,01 StB Altstadt ohne Johannstadt,Öl,0
363,2002,01 StB Altstadt ohne Johannstadt,Strom,0
364,2002,01 StB Altstadt ohne Johannstadt,sonstige,0
365,2002,02 Johannstadt,Kohle,"26,4"
366,2002,02 Johannstadt,Gas,54
367,2002,02 Johannstadt,Öl,0
368,2002,02 Johannstadt,Strom,"14,7"
369,2002,02 Johannstadt,sonstige,5
370,2002,03 StB Neustadt ohne Leipziger Vorstadt,Kohle,"2,6"
371,2002,03 StB Neustadt ohne Leipziger Vorstadt,Gas,"73,7"
372,2002,03 StB Neustadt ohne Leipziger Vorstadt,Öl,"19,7"
373,2002,03 StB Neustadt ohne Leipziger Vorstadt,Strom,"3,1"
374,2002,03 StB Neustadt ohne Leipziger Vorstadt,sonstige,"0,9"
375,2002,"04 Leipziger Vorstadt, Pieschen",Kohle,6
376,2002,"04 Leipziger Vorstadt, Pieschen",Gas,"78,4"
377,2002,"04 Leipziger Vorstadt, Pieschen",Öl,"12,9"
378,2002,"04 Leipziger Vorstadt, Pieschen",Strom,2
379,2002,"04 Leipziger Vorstadt, Pieschen",sonstige,"0,7"
380,2002,"05 Mickten, Kaditz, Trachau",Kohle,"4,3"
381,2002,"05 Mickten, Kaditz, Trachau",Gas,"87,8"
382,2002,"05 Mickten, Kaditz, Trachau",Öl,"5,8"
383,2002,"05 Mickten, Kaditz, Trachau",Strom,"1,2"
384,2002,"05 Mickten, Kaditz, Trachau",sonstige,"0,9"
385,2002,06 StB Klotzsche und nördliche OS,Kohle,"3,7"
386,2002,06 StB Klotzsche und nördliche OS,Gas,"69,1"
387,2002,06 StB Klotzsche und nördliche OS,Öl,"21,8"
388,2002,06 StB Klotzsche und nördliche OS,Strom,"4,8"
389,2002,06 StB Klotzsche und nördliche OS,sonstige,"0,6"
390,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Kohle,"2,3"
391,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Gas,"71,9"
392,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Öl,"19,3"
393,2002,07 StB Loschwitz und OS Schönfeld-Weißig,Strom,"5,7"
394,2002,07 StB Loschwitz und OS Schönfeld-Weißig,sonstige,"0,7"
395,2002,"08 Blasewitz, Striesen",Kohle,"1,5"
396,2002,"08 Blasewitz, Striesen",Gas,"84,4"
397,2002,"08 Blasewitz, Striesen",Öl,"11,8"
398,2002,"08 Blasewitz, Striesen",Strom,"0,5"
399,2002,"08 Blasewitz, Striesen",sonstige,"1,8"
400,2002,"09 Tolkewitz, Seidnitz, Gruna",Kohle,"5,4"
401,2002,"09 Tolkewitz, Seidnitz, Gruna",Gas,"70,8"
