,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
378,2005,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,6
379,2005,"05 Mickten, Kaditz, Trachau",Eigentümer privat,50
380,2005,06 StB Klotzsche und nördliche OS,Eigennutzung,40
381,2005,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,18
382,2005,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,5
383,2005,06 StB Klotzsche und nördliche OS,Eigentümer privat,38
384,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,45
385,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,3
386,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,1
387,2005,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,51
388,2005,"08 Blasewitz, Striesen",Eigennutzung,6
389,2005,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,20
390,2005,"08 Blasewitz, Striesen",Eigentümer Stadt,13
391,2005,"08 Blasewitz, Striesen",Eigentümer privat,61
392,2005,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,5
393,2005,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,40
394,2005,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,14
395,2005,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,42
396,2005,10 StB Leuben,Eigennutzung,17
397,2005,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,31
398,2005,10 StB Leuben,Eigentümer Stadt,15
399,2005,10 StB Leuben,Eigentümer privat,38
400,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,7
401,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,28
402,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,35
403,2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,29
404,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,32
405,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,17
406,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,8
407,2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,44
408,2005,"13 Südvorstadt, Zschertnitz",Eigennutzung,13
409,2005,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,30
410,2005,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,35
411,2005,"13 Südvorstadt, Zschertnitz",Eigentümer privat,22
412,2005,"14 Mockritz, Coschütz, Plauen",Eigennutzung,21
413,2005,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,19
414,2005,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,10
415,2005,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,50
416,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,10
417,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,15
418,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,3
419,2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,71
420,2005,16 Gorbitz,Eigennutzung,5
421,2005,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,49
422,2005,16 Gorbitz,Eigentümer Stadt,35
423,2005,16 Gorbitz,Eigentümer privat,10
424,2005,17 Briesnitz und westliche OS,Eigennutzung,40
425,2005,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,6
426,2005,17 Briesnitz und westliche OS,Eigentümer Stadt,2
427,2005,17 Briesnitz und westliche OS,Eigentümer privat,53
428,2005,18 Dresden gesamt,Eigennutzung,15
429,2005,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,26
430,2005,18 Dresden gesamt,Eigentümer Stadt,17
431,2005,18 Dresden gesamt,Eigentümer privat,43
432,2007,01 StB Altstadt ohne Johannstadt,Eigennutzung,2
433,2007,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,36
434,2007,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,39
435,2007,01 StB Altstadt ohne Johannstadt,Eigentümer privat,23
436,2007,02 Johannstadt,Eigennutzung,1
437,2007,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,47
438,2007,02 Johannstadt,Eigentümer Stadt,30
439,2007,02 Johannstadt,Eigentümer privat,22
440,2007,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,6
441,2007,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,6
442,2007,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,13
443,2007,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,76
444,2007,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,7
445,2007,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,12
446,2007,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,5
447,2007,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,76
448,2007,"05 Mickten, Kaditz, Trachau",Eigennutzung,13
449,2007,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,27
450,2007,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,3
451,2007,"05 Mickten, Kaditz, Trachau",Eigentümer privat,57
452,2007,06 StB Klotzsche und nördliche OS,Eigennutzung,45
453,2007,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,14
454,2007,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,3
455,2007,06 StB Klotzsche und nördliche OS,Eigentümer privat,38
456,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,43
457,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,2
458,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,1
459,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,53
460,2007,"08 Blasewitz, Striesen",Eigennutzung,8
461,2007,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,18
462,2007,"08 Blasewitz, Striesen",Eigentümer Stadt,9
463,2007,"08 Blasewitz, Striesen",Eigentümer privat,66
464,2007,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,9
465,2007,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,37
466,2007,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,18
467,2007,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,37
468,2007,10 StB Leuben,Eigennutzung,18
469,2007,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,33
470,2007,10 StB Leuben,Eigentümer Stadt,13
471,2007,10 StB Leuben,Eigentümer privat,36
472,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,3
473,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,44
474,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,30
475,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,23
476,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,32
477,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,15
478,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,3
479,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,51
480,2007,"13 Südvorstadt, Zschertnitz",Eigennutzung,10
481,2007,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,25
482,2007,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,39
483,2007,"13 Südvorstadt, Zschertnitz",Eigentümer privat,26
484,2007,"14 Mockritz, Coschütz, Plauen",Eigennutzung,25
485,2007,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,24
486,2007,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,9
487,2007,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,42
488,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,10
489,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,15
490,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,7
491,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,69
492,2007,16 Gorbitz,Eigennutzung,3
493,2007,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,55
494,2007,16 Gorbitz,Eigentümer Stadt,30
495,2007,16 Gorbitz,Eigentümer privat,13
496,2007,17 Briesnitz und westliche OS,Eigennutzung,42
497,2007,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,10
498,2007,17 Briesnitz und westliche OS,Eigentümer Stadt,1
499,2007,17 Briesnitz und westliche OS,Eigentümer privat,47
500,2007,18 Dresden gesamt,Eigennutzung,15
501,2007,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,24
502,2007,18 Dresden gesamt,Eigentümer Stadt,15
