"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"2001";"83 Räcknitz/Zschertnitz";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5721;1168;1058;2219;1120;121;22;13;675
"2001";"84 Kleinpestitz/Mockritz";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3924;503;824;1470;822;181;78;46;915
"2001";"85 Coschütz/Gittersee";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3059;265;1090;1059;421;157;50;17;1075
"2001";"86 Plauen";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";5553;355;1448;2048;1296;320;66;20;944
"2001";"90 Cossebaude/Mobschatz/Oberw.";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";3677;207;1017;1217;708;348;116;64;1558
"2001";"91 Cotta";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6519;419;3317;2220;436;91;30;6;863
"2001";"92 Löbtau-Nord";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";4970;273;2315;1880;423;58;18;3;457
"2001";"93 Löbtau-Süd";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6477;481;3233;2231;424;84;19;5;671
"2001";"94 Naußlitz";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";5097;328;2219;1319;729;313;133;56;1722
"2001";"95 Gorbitz-Süd";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";5682;2148;859;1768;742;153;7;5;542
"2001";"96 Gorbitz-Ost";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";3899;1017;678;1502;619;82;0;1;256
"2001";"97 Gorbitz-Nord/Neu-Omsewitz";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";4958;1265;642;2000;1037;14;0;0;345
"2001";"98 Briesnitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";5860;493;1968;1936;902;359;129;73;2053
"2001";"99 Altfranken/Gompitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";1649;59;367;387;304;347;138;47;967
"2002";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";1026;118;462;271;140;33;2;0;79
"2002";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4205;695;2200;1063;238;7;0;2;208
"2002";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4149;1457;1010;1404;222;40;11;5;276
"2002";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4952;509;2105;1869;455;11;3;0;368
"2002";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4123;646;1666;1355;370;75;11;0;371
"2002";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";5995;561;2436;2356;559;70;8;5;310
"2002";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7246;604;3287;3020;312;17;1;5;467
"2002";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9555;989;4159;2915;1043;343;67;39;1118
"2002";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4411;523;1261;1579;739;210;63;36;682
"2002";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3736;498;1137;1390;574;92;32;13;421
"2002";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6516;468;2823;2355;707;131;25;7;764
"2002";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1142;155;468;393;100;25;0;1;133
"2002";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6485;440;3140;2284;482;110;20;9;786
"2002";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";7201;619;3061;2741;612;136;23;9;913
"2002";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3073;202;1415;1018;268;104;45;21;881
"2002";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5387;264;1836;2091;909;203;62;22;1230
"2002";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";7044;512;3158;2407;719;196;39;13;1073
"2002";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7265;981;1865;2545;1307;367;136;64;1718
"2002";"32 Hellerau/Wilschdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2891;118;629;878;658;372;168;68;1930
"2002";"35 Weixdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2580;64;531;742;637;412;143;51;1696
"2002";"36 Langebrück/Schönborn";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";1820;43;304;594;414;283;150;32;1036
"2002";"41 Loschwitz/Wachwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2721;147;756;802;552;236;134;94;1153
