Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
471;0;3;3;0;0;0;3;0;3;0;3;3;0;3;3;3;3;0;0;3;3
771;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;0;1;1;1
246;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2
757;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
579;1;2;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;0;1;1;1
623;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;2
224;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
133;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2
932;3;1;1;1;2;2;2;1;3;2;2;2;1;3;2;1;1;2;2;1;1
996;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;1
243;2;1;1;0;2;2;2;1;2;2;2;1;2;2;1;2;2;0;1;1;1
967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
314;3;6;10;0;3;4;3;4;4;3;4;6;3;4;6;9;10;1;3;9;9
055;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1
362;0;3;6;0;0;0;3;0;3;0;3;3;0;3;3;6;7;0;0;6;6
984;2;3;3;0;4;3;4;4;4;4;4;3;4;4;3;3;3;1;2;3;3
907;0;2;2;0;0;0;3;0;2;0;3;2;0;2;2;2;2;0;0;2;2
257;2;4;7;0;3;3;3;3;4;3;4;4;2;4;4;6;7;1;1;6;6
476;0;2;1;0;0;0;2;0;2;0;2;2;0;2;2;1;1;0;0;1;1
834;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
614;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1
843;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0
