Jahr,Stadtraum,Gestorbene
2015,"09 Tolkewitz, Seidnitz, Gruna",346
2015,10 StB Leuben,519
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",354
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",251
2015,"13 Südvorstadt, Zschertnitz",227
2015,"14 Mockritz, Coschütz, Plauen",192
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",288
2015,16 Gorbitz,308
2015,17 Briesnitz und westliche OS,192
2016,01 StB Altstadt ohne Johannstadt,603
2016,02 Johannstadt,498
2016,03 StB Neustadt ohne Leipziger Vorstadt,234
2016,"04 Leipziger Vorstadt, Pieschen",232
2016,"05 Mickten, Kaditz, Trachau",188
2016,06 StB Klotzsche und nördliche OS,244
2016,07 StB Loschwitz und OS Schönfeld-Weißig,304
2016,"08 Blasewitz, Striesen",399
2016,"09 Tolkewitz, Seidnitz, Gruna",321
2016,10 StB Leuben,441
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",324
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",273
2016,"13 Südvorstadt, Zschertnitz",244
2016,"14 Mockritz, Coschütz, Plauen",173
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",246
2016,16 Gorbitz,286
2016,17 Briesnitz und westliche OS,153
2017,01 StB Altstadt ohne Johannstadt,591
2017,02 Johannstadt,491
2017,03 StB Neustadt ohne Leipziger Vorstadt,249
2017,"04 Leipziger Vorstadt, Pieschen",222
2017,"05 Mickten, Kaditz, Trachau",194
2017,06 StB Klotzsche und nördliche OS,285
2017,07 StB Loschwitz und OS Schönfeld-Weißig,335
2017,"08 Blasewitz, Striesen",395
2017,"09 Tolkewitz, Seidnitz, Gruna",321
2017,10 StB Leuben,443
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",354
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",251
2017,"13 Südvorstadt, Zschertnitz",272
2017,"14 Mockritz, Coschütz, Plauen",189
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",245
2017,16 Gorbitz,339
2017,17 Briesnitz und westliche OS,164
