,Jahr,Stadtraum,Heizungsart,Anteil in %
332,2007,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,5
333,2007,"04 Leipziger Vorstadt, Pieschen",Fernheizung,22
334,2007,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,69
335,2007,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,9
336,2007,"05 Mickten, Kaditz, Trachau",Fernheizung,28
337,2007,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,70
338,2007,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,2
339,2007,06 StB Klotzsche und nördliche OS,Fernheizung,24
340,2007,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,73
341,2007,06 StB Klotzsche und nördliche OS,Einzelraumheizung,3
342,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,9
343,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,86
344,2007,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,5
345,2007,"08 Blasewitz, Striesen",Fernheizung,49
346,2007,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,50
347,2007,"08 Blasewitz, Striesen",Einzelraumheizung,1
348,2007,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,64
349,2007,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,36
350,2007,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,1
351,2007,10 StB Leuben,Fernheizung,49
352,2007,10 StB Leuben,Zentralheizung oder Etagenheizung,50
353,2007,10 StB Leuben,Einzelraumheizung,2
354,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,75
355,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,25
356,2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
357,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,25
