Jahr,Stadtraum,Geborene
2010,07 StB Loschwitz und OS Schönfeld-Weißig,308
2010,"08 Blasewitz, Striesen",649
2010,"09 Tolkewitz, Seidnitz, Gruna",336
2010,10 StB Leuben,430
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",196
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",348
2010,"13 Südvorstadt, Zschertnitz",251
2010,"14 Mockritz, Coschütz, Plauen",256
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",544
2010,16 Gorbitz,187
2010,17 Briesnitz und westliche OS,211
2011,01 StB Altstadt ohne Johannstadt,244
2011,02 Johannstadt,221
2011,03 StB Neustadt ohne Leipziger Vorstadt,588
2011,"04 Leipziger Vorstadt, Pieschen",611
2011,"05 Mickten, Kaditz, Trachau",345
2011,06 StB Klotzsche und nördliche OS,273
2011,07 StB Loschwitz und OS Schönfeld-Weißig,302
2011,"08 Blasewitz, Striesen",614
2011,"09 Tolkewitz, Seidnitz, Gruna",372
2011,10 StB Leuben,328
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",173
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",280
2011,"13 Südvorstadt, Zschertnitz",243
2011,"14 Mockritz, Coschütz, Plauen",312
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",551
2011,16 Gorbitz,160
2011,17 Briesnitz und westliche OS,223
2012,01 StB Altstadt ohne Johannstadt,246
2012,02 Johannstadt,217
2012,03 StB Neustadt ohne Leipziger Vorstadt,553
2012,"04 Leipziger Vorstadt, Pieschen",640
2012,"05 Mickten, Kaditz, Trachau",350
2012,06 StB Klotzsche und nördliche OS,272
2012,07 StB Loschwitz und OS Schönfeld-Weißig,306
2012,"08 Blasewitz, Striesen",646
2012,"09 Tolkewitz, Seidnitz, Gruna",380
2012,10 StB Leuben,334
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",214
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",318
2012,"13 Südvorstadt, Zschertnitz",274
2012,"14 Mockritz, Coschütz, Plauen",283
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",554
2012,16 Gorbitz,170
2012,17 Briesnitz und westliche OS,199
2013,01 StB Altstadt ohne Johannstadt,279
2013,02 Johannstadt,215
2013,03 StB Neustadt ohne Leipziger Vorstadt,564
2013,"04 Leipziger Vorstadt, Pieschen",642
2013,"05 Mickten, Kaditz, Trachau",352
2013,06 StB Klotzsche und nördliche OS,259
2013,07 StB Loschwitz und OS Schönfeld-Weißig,298
2013,"08 Blasewitz, Striesen",614
2013,"09 Tolkewitz, Seidnitz, Gruna",364
2013,10 StB Leuben,331
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",202
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",358
2013,"13 Südvorstadt, Zschertnitz",250
2013,"14 Mockritz, Coschütz, Plauen",285
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",601
2013,16 Gorbitz,196
2013,17 Briesnitz und westliche OS,256
2014,01 StB Altstadt ohne Johannstadt,258
2014,02 Johannstadt,231
2014,03 StB Neustadt ohne Leipziger Vorstadt,628
2014,"04 Leipziger Vorstadt, Pieschen",632
2014,"05 Mickten, Kaditz, Trachau",379
2014,06 StB Klotzsche und nördliche OS,287
2014,07 StB Loschwitz und OS Schönfeld-Weißig,322
2014,"08 Blasewitz, Striesen",638
2014,"09 Tolkewitz, Seidnitz, Gruna",408
2014,10 StB Leuben,335
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",198
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",306
2014,"13 Südvorstadt, Zschertnitz",294
2014,"14 Mockritz, Coschütz, Plauen",300
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",659
2014,16 Gorbitz,181
2014,17 Briesnitz und westliche OS,235
2015,01 StB Altstadt ohne Johannstadt,280
2015,02 Johannstadt,209
2015,03 StB Neustadt ohne Leipziger Vorstadt,585
2015,"04 Leipziger Vorstadt, Pieschen",653
2015,"05 Mickten, Kaditz, Trachau",365
2015,06 StB Klotzsche und nördliche OS,287
2015,07 StB Loschwitz und OS Schönfeld-Weißig,284
2015,"08 Blasewitz, Striesen",666
2015,"09 Tolkewitz, Seidnitz, Gruna",390
2015,10 StB Leuben,400
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",206
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",328
2015,"13 Südvorstadt, Zschertnitz",270
2015,"14 Mockritz, Coschütz, Plauen",269
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",590
2015,16 Gorbitz,173
2015,17 Briesnitz und westliche OS,232
2016,01 StB Altstadt ohne Johannstadt,316
2016,02 Johannstadt,232
2016,03 StB Neustadt ohne Leipziger Vorstadt,541
2016,"04 Leipziger Vorstadt, Pieschen",651
2016,"05 Mickten, Kaditz, Trachau",362
2016,06 StB Klotzsche und nördliche OS,271
2016,07 StB Loschwitz und OS Schönfeld-Weißig,315
2016,"08 Blasewitz, Striesen",716
2016,"09 Tolkewitz, Seidnitz, Gruna",404
2016,10 StB Leuben,387
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",218
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",324
2016,"13 Südvorstadt, Zschertnitz",326
2016,"14 Mockritz, Coschütz, Plauen",302
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",641
2016,16 Gorbitz,206
2016,17 Briesnitz und westliche OS,212
2017,01 StB Altstadt ohne Johannstadt,332
2017,02 Johannstadt,260
2017,03 StB Neustadt ohne Leipziger Vorstadt,626
2017,"04 Leipziger Vorstadt, Pieschen",621
2017,"05 Mickten, Kaditz, Trachau",358
2017,06 StB Klotzsche und nördliche OS,251
2017,07 StB Loschwitz und OS Schönfeld-Weißig,297
2017,"08 Blasewitz, Striesen",650
2017,"09 Tolkewitz, Seidnitz, Gruna",375
2017,10 StB Leuben,346
2017,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",228
2017,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",333
2017,"13 Südvorstadt, Zschertnitz",338
2017,"14 Mockritz, Coschütz, Plauen",267
2017,"15 Cotta, Löbtau, Naußlitz, Dölzschen",652
2017,16 Gorbitz,205
2017,17 Briesnitz und westliche OS,211
