Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.6025390625
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5552805280528053
2014,"13 Südvorstadt, Zschertnitz",1.5655339805825244
2014,"14 Mockritz, Coschütz, Plauen",1.5441176470588234
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5373263888888888
2014,16 Gorbitz,1.6013513513513513
2014,17 Briesnitz und westliche OS,1.5474999999999999
2015,01 StB Altstadt ohne Johannstadt,1.5821917808219177
2015,02 Johannstadt,1.5531609195402298
2015,03 StB Neustadt ohne Leipziger Vorstadt,1.5436893203883495
2015,"04 Leipziger Vorstadt, Pieschen",1.5516148559626821
2015,"05 Mickten, Kaditz, Trachau",1.5463636363636364
2015,06 StB Klotzsche und nördliche OS,1.5481843575418994
2015,07 StB Loschwitz und OS Schönfeld-Weißig,1.5464547677261615
2015,"08 Blasewitz, Striesen",1.547029702970297
2015,"09 Tolkewitz, Seidnitz, Gruna",1.5615942028985508
2015,10 StB Leuben,1.5572289156626506
2015,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.600909090909091
2015,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5598360655737706
2015,"13 Südvorstadt, Zschertnitz",1.5599547511312217
2015,"14 Mockritz, Coschütz, Plauen",1.5443037974683544
2015,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5368589743589745
2015,16 Gorbitz,1.617283950617284
2015,17 Briesnitz und westliche OS,1.5467980295566504
2016,01 StB Altstadt ohne Johannstadt,1.591614906832298
2016,02 Johannstadt,1.556878306878307
2016,03 StB Neustadt ohne Leipziger Vorstadt,1.5435034802784222
2016,"04 Leipziger Vorstadt, Pieschen",1.5548971377459748
2016,"05 Mickten, Kaditz, Trachau",1.5419708029197081
2016,06 StB Klotzsche und nördliche OS,1.5489276139410189
2016,07 StB Loschwitz und OS Schönfeld-Weißig,1.5488505747126435
2016,"08 Blasewitz, Striesen",1.5476190476190477
2016,"09 Tolkewitz, Seidnitz, Gruna",1.560430463576159
2016,10 StB Leuben,1.5617897727272727
2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5959119496855347
2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.558868501529052
2016,"13 Südvorstadt, Zschertnitz",1.5601503759398496
2016,"14 Mockritz, Coschütz, Plauen",1.5450819672131146
2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5430513595166162
2016,16 Gorbitz,1.625
2016,17 Briesnitz und westliche OS,1.5514354066985647
2017,01 StB Altstadt ohne Johannstadt,1.5909090909090908
2017,02 Johannstadt,1.5695754716981132
